dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize20	PowerAtEffectSize50	numTSSEnhGene	distanceToTSS	normalizedDNase_enh	normalizedDNase_prom	numNearbyEnhancers	sumNearbyEnhancers	ubiquitousExpressedGene	numCandidateEnhGene	3DContactAvgHicTrack2	3DContactAvgHicTrack2_squared	activityEnhDNaseOnlyAvgHicTrack2_squared	activityPromDNaseOnlyAvgHicTrack2	ABCScoreDNaseOnlyAvgHicTrack2
FlowFISH_K562	chr12	53696201	53696701	COPZ1|chr12:54089985-54090485:*	-0.03057933	chr12	54301202.0	54301203.0	COPZ1	False	0.753598877342	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	26	628638	1.909814	0.988154	1	0.992137	1	0	0.000423	1.78929e-07	3.647389514596	0.988154	9.7e-05
FlowFISH_K562	chr12	53696201	53696701	HNRNPA1|chr12:54089985-54090485:*	0.01000726	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.999574286419	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	584238	1.909814	0.987867	1	0.992137	0	0	0.000503	2.53009e-07	3.647389514596	0.987867	8.5e-05
FlowFISH_K562	chr12	53696201	53696701	ITGA5|chr12:54089985-54090485:*	-0.024815056	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	30	722815	1.909814	0.578046	1	0.992137	0	0	0.000365	1.33225e-07	3.647389514596	0.578046	0.000172
FlowFISH_K562	chr12	53696201	53696701	NFE2|chr12:54089985-54090485:*	-0.0253125	chr12	54301120.0	54301121.0	NFE2	False	0.920785650459	0.999996512423	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	25	604586	1.909814	0.790293	1	0.992137	0	0	0.000434	1.88356e-07	3.647389514596	0.790293	7.1e-05
FlowFISH_K562	chr12	53701681	53702221	COPZ1|chr12:54095465-54096005:*	-0.00305569	chr12	54301202.0	54301203.0	COPZ1	False	0.974465417009	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	26	623138	3.376361	0.988154	0	0.0	1	0	0.000389	1.51321e-07	11.399813602321	0.988154	0.000158
FlowFISH_K562	chr12	53701681	53702221	HNRNPA1|chr12:54095465-54096005:*	-0.00444185	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.999999977351	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	578738	3.376361	0.987867	0	0.0	0	0	0.00042	1.764e-07	11.399813602321	0.987867	0.000126
FlowFISH_K562	chr12	53701681	53702221	ITGA5|chr12:54095465-54096005:*	-0.005955163	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	30	717315	3.376361	0.578046	0	0.0	0	0	0.000382	1.45924e-07	11.399813602321	0.578046	0.000319
FlowFISH_K562	chr12	53701681	53702221	NFE2|chr12:54095465-54096005:*	0.02402311	chr12	54301120.0	54301121.0	NFE2	False	0.905911734903	0.999997165109	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	25	599086	3.376361	0.790293	0	0.0	0	0	0.000434	1.88356e-07	11.399813602321	0.790293	0.000126
FlowFISH_K562	chr12	53719581	53720101	COPZ1|chr12:54113365-54113885:*	-0.03475189	chr12	54301202.0	54301203.0	COPZ1	False	0.753598877342	0.999999999996	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	26	605248	1.019363	0.988154	0	0.0	1	0	0.000387	1.49769e-07	1.039100925769	0.988154	4.7e-05
FlowFISH_K562	chr12	53719581	53720101	HNRNPA1|chr12:54113365-54113885:*	-0.10084807	chr12	54280193.0	54280194.0	HNRNPA1	False	0.582058620332	0.997890865561	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	560848	1.019363	0.987867	0	0.0	0	0	0.000517	2.67289e-07	1.039100925769	0.987867	4.7e-05
FlowFISH_K562	chr12	53719581	53720101	ITGA5|chr12:54113365-54113885:*	0.020598316	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	0.999999965588	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	30	699425	1.019363	0.578046	0	0.0	0	0	0.000365	1.33225e-07	1.039100925769	0.578046	9.2e-05
FlowFISH_K562	chr12	53719581	53720101	NFE2|chr12:54113365-54113885:*	-0.0095429	chr12	54301120.0	54301121.0	NFE2	False	0.998265820297	0.996185284112	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	25	581196	1.019363	0.790293	0	0.0	0	0	0.000477	2.27529e-07	1.039100925769	0.790293	4.2e-05
FlowFISH_K562	chr12	53726221	53726741	COPZ1|chr12:54120005-54120525:*	0.00985364	chr12	54301202.0	54301203.0	COPZ1	False	0.974465417009	0.999999999999	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	26	598608	1.927738	0.988154	0	0.0	1	0	0.000653	4.26409e-07	3.716173796644	0.988154	0.000151
FlowFISH_K562	chr12	53726221	53726741	HNRNPA1|chr12:54120005-54120525:*	-0.00064309	chr12	54280193.0	54280194.0	HNRNPA1	False	0.998348135766	0.998738769953	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	554208	1.927738	0.987867	0	0.0	0	0	0.001048	1.098304e-06	3.716173796644	0.987867	0.00018
FlowFISH_K562	chr12	53726221	53726741	ITGA5|chr12:54120005-54120525:*	-0.047997057	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	0.999994914555	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	30	692785	1.927738	0.578046	0	0.0	0	0	0.000388	1.50544e-07	3.716173796644	0.578046	0.000185
FlowFISH_K562	chr12	53726221	53726741	NFE2|chr12:54120005-54120525:*	0.14941822	chr12	54301120.0	54301121.0	NFE2	False	0.100451067556	0.946521921055	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	25	574556	1.927738	0.790293	0	0.0	0	0	0.000514	2.64196e-07	3.716173796644	0.790293	8.5e-05
FlowFISH_K562	chr12	53743501	53744041	COPZ1|chr12:54137285-54137825:*	-0.01501967	chr12	54301202.0	54301203.0	COPZ1	False	0.879147233175	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	25	581318	2.973426	0.988154	1	7.047595	1	0	0.00053	2.809e-07	8.841262177476	0.988154	0.000189
FlowFISH_K562	chr12	53743501	53744041	HNRNPA1|chr12:54137285-54137825:*	0.01547957	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.999987218036	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	23	536918	2.973426	0.987867	1	7.047595	0	0	0.000362	1.31044e-07	8.841262177476	0.987867	9.6e-05
FlowFISH_K562	chr12	53743501	53744041	ITGA5|chr12:54137285-54137825:*	0.014491734	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	29	675495	2.973426	0.578046	1	7.047595	0	0	0.000288	8.2944e-08	8.841262177476	0.578046	0.000211
FlowFISH_K562	chr12	53743501	53744041	NFE2|chr12:54137285-54137825:*	0.03340879	chr12	54301120.0	54301121.0	NFE2	False	0.892737161892	0.999925913435	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	557266	2.973426	0.790293	1	7.047595	0	0	0.000392	1.53664e-07	8.841262177476	0.790293	0.0001
FlowFISH_K562	chr12	53746561	53747061	COPZ1|chr12:54140345-54140845:*	-0.02190487	chr12	54301202.0	54301203.0	COPZ1	False	0.837481255458	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	25	578278	7.047595	0.988154	1	2.973426	1	0	0.000414	1.71396e-07	49.668595284025	0.988154	0.00035
FlowFISH_K562	chr12	53746561	53747061	HNRNPA1|chr12:54140345-54140845:*	0.0036499	chr12	54280193.0	54280194.0	HNRNPA1	False	0.998348135766	0.999999293531	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	23	533878	7.047595	0.987867	1	2.973426	0	0	0.000692	4.78864e-07	49.668595284025	0.987867	0.000434
FlowFISH_K562	chr12	53746561	53747061	ITGA5|chr12:54140345-54140845:*	-0.024447599	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	29	672455	7.047595	0.578046	1	2.973426	0	0	0.000372	1.38384e-07	49.668595284025	0.578046	0.000649
FlowFISH_K562	chr12	53746561	53747061	NFE2|chr12:54140345-54140845:*	-0.0282422	chr12	54301120.0	54301121.0	NFE2	False	0.892737161892	0.999725856404	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	554226	7.047595	0.790293	1	2.973426	0	0	0.000667	4.44889e-07	49.668595284025	0.790293	0.000404
FlowFISH_K562	chr12	53767601	53768121	COPZ1|chr12:54161385-54161905:*	-0.03136565	chr12	54301202.0	54301203.0	COPZ1	False	0.849777965302	0.999998608928	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	557228	1.473456	0.988154	0	0.0	1	0	0.000303	9.1809e-08	2.171072583936	0.988154	5.4e-05
FlowFISH_K562	chr12	53767601	53768121	HNRNPA1|chr12:54161385-54161905:*	-0.02150727	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.954252348308	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	22	512828	1.473456	0.987867	0	0.0	0	0	0.000411	1.68921e-07	2.171072583936	0.987867	5.4e-05
FlowFISH_K562	chr12	53767601	53768121	ITGA5|chr12:54161385-54161905:*	0.026442918	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	0.999999998919	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	28	651405	1.473456	0.578046	0	0.0	0	0	0.000455	2.07025e-07	2.171072583936	0.578046	0.000166
FlowFISH_K562	chr12	53767601	53768121	NFE2|chr12:54161385-54161905:*	-0.05874899	chr12	54301120.0	54301121.0	NFE2	False	0.866203130695	0.944708353699	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	23	533176	1.473456	0.790293	0	0.0	0	0	0.000439	1.92721e-07	2.171072583936	0.790293	5.6e-05
FlowFISH_K562	chr12	53791661	53792161	COPZ1|chr12:54185445-54185945:*	0.05433317	chr12	54301202.0	54301203.0	COPZ1	False	0.480712345215	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	24	533178	1.067448	0.988154	0	0.0	1	0	0.000321	1.03041e-07	1.139445232704	0.988154	4.1e-05
FlowFISH_K562	chr12	53791661	53792161	HNRNPA1|chr12:54185445-54185945:*	-0.02572394	chr12	54280193.0	54280194.0	HNRNPA1	False	0.967613756798	0.999786673021	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	22	488778	1.067448	0.987867	0	0.0	0	0	0.000312	9.7344e-08	1.139445232704	0.987867	3e-05
FlowFISH_K562	chr12	53791661	53792161	ITGA5|chr12:54185445-54185945:*	0.018537457	chr12	54419459.0	54419460.0	ITGA5	False	0.991842183927	1.0	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	28	627355	1.067448	0.578046	0	0.0	0	0	0.000345	1.19025e-07	1.139445232704	0.578046	9.1e-05
FlowFISH_K562	chr12	53791661	53792161	NFE2|chr12:54185445-54185945:*	-0.01560573	chr12	54301120.0	54301121.0	NFE2	False	0.972885984974	0.998516909522	True	K562	Fulco2019	False	0.0	0.0	0.0	0.0	23	509126	1.067448	0.790293	0	0.0	0	0	0.000442	1.95364e-07	1.139445232704	0.790293	4.1e-05
